,,name,start_date_local,type,distance,elapsed_time,moving_time,total_elevation_gain,kudos_count,average_speed,max_speed,average_heartrate,max_heartrate,average_cadence,time_of_day,average_split
x,25,Morning Weight Training,2022-10-28,WeightTraining,0.0,4689.0,4689.0,0.0,7.0,0.0,0.0,132.2,180.0,0.0,06:51:34,
x,26,2x10’ UT1,2022-10-27,Rowing,0.0,1328.0,1328.0,0.0,0.0,0.0,0.0,174.1,190.0,24.1,18:19:28,
x,27,UT2,2022-10-26,Rowing,0.0,3746.0,3746.0,0.0,0.0,0.0,0.0,153.7,163.0,20.2,18:45:13,
x,28,Afternoon Run,2022-10-25,Run,12065.0,4520.0,4473.0,176.0,11.0,2.697,3.804,145.7,168.0,82.4,17:01:13,
x,29,Morning Weight Training,2022-10-25,WeightTraining,0.0,4298.0,4298.0,0.0,4.0,0.0,0.0,133.7,178.0,0.0,06:48:51,
x,30,3x10’ UT1,2022-10-24,Rowing,0.0,2045.0,2045.0,0.0,4.0,0.0,0.0,171.7,190.0,20.3,17:28:01,
x,31,Morning Weight Training,2022-10-24,WeightTraining,0.0,4483.0,4483.0,0.0,4.0,0.0,0.0,113.8,161.0,0.0,06:49:05,
x,32,Treadmill Run,2022-10-23,Run,7373.8,2701.0,2701.0,0.0,5.0,2.73,3.178,149.2,159.0,80.9,10:38:35,
x,33,UT2,2022-10-22,Rowing,0.0,3739.0,3739.0,0.0,0.0,0.0,0.0,151.9,159.0,20.2,17:54:59,
x,34,Threshold Run,2022-10-21,Run,8191.1,2704.0,2700.0,39.0,12.0,3.034,5.138,163.3,180.0,84.2,07:45:59,
x,35,Afternoon Weight Training,2022-10-20,WeightTraining,0.0,4282.0,4282.0,0.0,4.0,0.0,0.0,142.7,184.0,0.0,17:41:29,
x,36,UT2,2022-10-19,Rowing,0.0,3753.0,3753.0,0.0,1.0,0.0,0.0,150.4,161.0,20.1,18:37:08,
x,37,Afternoon Run,2022-10-18,Run,8515.0,3313.0,3200.0,65.0,8.0,2.661,4.508,151.6,166.0,81.5,17:28:03,
x,38,Morning Weight Training,2022-10-18,WeightTraining,0.0,4447.0,4447.0,0.0,3.0,0.0,0.0,133.7,176.0,0.0,06:50:29,
x,39,30@20,2022-10-17,Rowing,0.0,1806.0,1806.0,0.0,9.0,0.0,0.0,181.9,196.0,20.2,17:39:36,
x,40,Morning Weight Training,2022-10-17,WeightTraining,0.0,4203.0,4203.0,0.0,3.0,0.0,0.0,122.1,165.0,0.0,06:48:12,
x,41,Afternoon Run,2022-10-16,Run,8769.2,3548.0,3471.0,131.0,10.0,2.526,3.662,152.0,166.0,81.7,14:52:14,
x,42,10k UT2,2022-10-14,Rowing,0.0,2817.0,2817.0,0.0,0.0,0.0,0.0,153.3,162.0,20.0,16:03:05,
x,43,Morning Weight Training,2022-10-14,WeightTraining,0.0,4671.0,4671.0,0.0,3.0,0.0,0.0,145.5,184.0,0.0,06:54:13,
x,44,UT2,2022-10-12,Rowing,0.0,3755.0,3755.0,0.0,4.0,0.0,0.0,153.9,164.0,20.0,19:34:06,
