start_date_local,distance,average_split,average_cadence,name,type,elapsed_time,average_heartrate,time_of_day,average_speed,,elapsed_time_s,
21/12/2021,30560,,,,Bike,01:00:00,,,,,3600,
23/12/2021,7020,,,,Run,43:38.0,,,,,2618,
04/01/2021,9060,,,,Treadmill run,05:00.0,,,,,300,
07/01/2022,6300,,,,Run,45:49.0,,,,,2749,
24/01/2022,35720,,,,Bike,01:00:00,,,,,3600,
27/01/2022,32866,,,,Bike,01:00:00,,,,,3600,
04/02/2022,35770,,,,Bike,01:00:00,,,,,3600,
14/02/2022,40000,,,,Bike,01:07:06,,,,,4026,
15/02/2022,47546,,,,Bike,20:00.0,,,,,1200,
16/02/2022,5810,,,,Run,35:20.0,,,,,2120,
21/02/2022,40000,,,,Bike,20:00.0,,,,,1200,
22/02/2022,15886,,,3x10' 2' rest,Bike,30:00.0,,,,,1800,
23/02/2022,6030,,,,Run,34:42.0,,,,,2082,
26/02/2022,30760,,,,Bike,01:00:00,,,,,3600,
26/02/2022,6920,,,,Run,34:20.0,,,,,2060,
28/02/2022,40270,,,,Bike,10:00.0,,,,,600,
01/03/2022,8000,,,,Run,50:00.0,,,,,3000,
01/03/2022,13010,,,20' max,Bike,20:00.0,,,,,1200,
02/03/2022,22960,,,,Bike,40:00.0,,,,,2400,
05/03/2022,6600,,,"2k easy, 3k effort, 1.6k easy",Run,36:16.0,,,,,2176,
06/03/2022,25100,,,,Bike,45:00.0,,,,,2700,
07/03/2022,16066,,,3x10' 2' rest,Bike,30:00.0,,,,,1800,
09/03/2022,47900,,,,Bike,20:00.0,,,,,1200,
12/03/2022,9200,,,"5x 4’ on 2’ off, target pace 4:30",Run,50:37.0,,,,,3037,
15/03/2022,10020,,,,Run,01:00:24,,,,,3624,
18/03/2022,3470,,,,Run,22:54.0,,,,,1374,
26/03/2022,10060,,,3x9’ 3’ rest,Run,29:00.0,,,,,1740,
31/03/2022,13442,,,20' max,Bike,20:00.0,,,,,1200,
05/04/2022,7590,,,,Run,46:32.0,,,,,2792,
06/04/2022,16000,,,,Bike,30:00.0,,,,,1800,
26/04/2022,8400,,,,Run,46:22.0,,,,,2782,
28/04/2022,33400,,,,Bike,01:00:00,,,,,3600,
12/05/2022,8110,,,,Run,44:05.0,,,,,2645,
18/05/2022,8170,,,,Run,45:10.0,,,,,2710,
29/05/2022,8730,,,,Run,48:37.0,,,,,2917,
