start_date_local,distance,average_split,average_cadence,name,type,elapsed_time,average_heartrate,time_of_day,average_speed,,
02/03/2022,22960,00:00.0,,,Bike,2400,,,9.566666667,,
05/03/2022,6600,00:00.0,,"2k easy, 3k effort, 1.6k easy",Run,2176,,,3.033088235,,
06/03/2022,25100,00:00.0,,,Bike,2700,,,9.296296296,,
07/03/2022,16066,00:00.0,,3x10' 2' rest,Bike,1800,,,8.925555556,,
09/03/2022,47900,00:00.0,,,Bike,1200,,,39.91666667,,
12/03/2022,9200,00:00.0,,"5x 4’ on 2’ off, target pace 4:30",Run,3037,,,3.029305235,,
15/03/2022,10020,00:00.0,,,Run,3624,,,2.764900662,,
18/03/2022,3470,00:00.0,,,Run,1374,,,2.525473071,,
26/03/2022,10060,00:00.0,,3x9’ 3’ rest,Run,1740,,,5.781609195,,
31/03/2022,13442,00:00.0,,20' max,Bike,1200,,,11.20166667,,
05/04/2022,7590,00:00.0,,,Run,2792,,,2.718481375,,
06/04/2022,16000,00:00.0,,,Bike,1800,,,8.888888889,,
26/04/2022,8400,00:00.0,,,Run,2782,,,3.019410496,,
28/04/2022,33400,00:00.0,,,Bike,3600,,,9.277777778,,
12/05/2022,8110,00:00.0,,,Run,2645,,,3.066162571,,
18/05/2022,8170,00:00.0,,,Run,2710,,,3.014760148,,
29/05/2022,8730,00:00.0,,,Run,2917,,,2.992800823,,
