,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_temp,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_cadence,elev_high,elev_low,workout_type
0,2,Morning Weight Training,0.0,4568,4568,0.0,WeightTraining,WeightTraining,8046225122,2022-10-31T06:49:31Z,2022-10-31T06:49:31Z,(GMT+00:00) GMT0,0.0,,,,0,3,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,26,True,118.2,163.0,False,True,8611018552,8611018552,garmin_ping_245187901913,False,0,0,False,52284254,1,a8046225122,,2,,,,
1,2,Afternoon Hike,3775.5,2682,2682,11.0,Hike,Hike,8043145428,2022-10-30T13:54:51Z,2022-10-30T13:54:51Z,(GMT+00:00) Europe/London,0.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[51.781045999377966, -0.7457617297768593]","[51.78746125660837, -0.7572530675679445]",1.408,2.634,20,True,85.1,106.0,False,True,8607397214,8607397214,garmin_ping_245086730348,False,0,0,False,52284254,1,a8043145428,we`{HtspCD?~@i@FG`@q@H]NYDS?WXi@Js@Nm@XeAN]DUDCB_@HQFqABEJi@Le@@QJKNWJaAN[DEBI\]v@kA?CJG^MFGj@Uz@Cx@DxBb@\@pA^F?DEJ?FBHENBFEz@DPAh@Jh@BRD~@?|AHLAXBbA@l@DHBFj@Cd@LbAJdBHb@FfCFn@HZ@PAp@Dj@?v@DXTr@BP@PRdA@NGJGDG@ORWL_@Fc@Li@CSB]NOJQDKAEIk@A[Na@B_@LIFW@KOESSMeAMGT_@h@GTSFIAe@h@]DUe@IE[JIFKFIAKDQEIGOEGDi@ESHK?YNIJKXCCGYWi@g@m@SIYGc@Dw@Zo@FCFOXQ?CDa@z@SZEVEBO\Sr@GVA^KVGFALUPk@zAeA`Cg@rAw@xA}@zB_@v@SRcClFkA`Do@dA]dAe@z@Qj@m@nAEFB@_@r@GTg@dAa@rAOv@Yd@KDSXUVi@^u@EWBgA?m@O?EICIBIZKRIVOp@Ir@GPKTWIc@ASGoAKSE@CQc@OGUA,2,56.3,122.2,98.8,
2,2,Lunch Run,9016.6,3239,3292,82.0,Run,Run,8042036972,2022-10-30T11:03:30Z,2022-10-30T11:03:30Z,(GMT+00:00) Europe/London,0.0,,,,0,4,0,1,0,False,False,False,False,everyone,False,,"[51.721082450821996, -0.5838892422616482]","[51.72110918909311, -0.5838739033788443]",2.784,4.159,20,True,152.6,167.0,False,True,8606086906,8606086906,garmin_ping_245066590630,False,0,0,False,52284254,1,a8042036972,ostzHzyqBPz@Xp@NfBBxBGr@Dr@IxAMhAUj@?LDHRNJ?VDpBv@v@NTJPAz@NVAh@d@p@RVMJMn@e@^c@TOF?LLh@|APn@V|AHx@l@bDhA~D\~@x@pAZr@JLNHFJd@dAXt@Zh@Vl@p@hAPBVMX@XSn@_ANk@Rc@BCHCb@Nn@h@f@HRRVf@Ll@Bd@^f@TTx@hA`@`@n@v@z@~@V`@f@f@t@`A^v@Zh@XPb@B`@WT[v@eCFGR@Eq@U_BCuAGi@C}@QqB?eAGy@HoFAWFqAAMHs@?e@JiBByAFsAHeDGG{@Ce@Da@BuAZ_@ZGn@Ez@Jr@Z|AJz@RfAJ\v@hAdAx@XJ?k@ASDcBHaABuCFkBRgCB_AH_@@YG}A]{ECw@DyBPyC?{@EYFwAAMD[DqADUD_BFu@GsABI@g@e@aDm@qBOw@_@yCE_AEWw@cM?gAHeAVaBF{@E}@H_EBmIOgB@mDAo@D}@Gq@@iAEuDFe@To@rBgADI@i@BEvAeBXa@`@[LQz@u@nAcBjBgBVm@Lk@FG|AiAh@Mp@UPONE\@h@Qf@Y\KHQDo@Lq@Rm@Xa@DYFu@A_@@c@BEAk@BQ`@g@JeAUq@QUG]?e@QiB]aAOk@Qc@GCk@@UVMxAOh@Uf@EX?Bf@D?BKb@U^q@zBMl@_ApBGb@g@rAE@Uo@W][IUDOJWZKNa@~@Kj@@~@@H\|@Ll@H~A}@vBWnBgAtAeA`Ai@r@k@^yAdBWLa@\{@|@GHSh@I^MPUYGOOB}@BQDu@Gc@NWYe@E[JeAl@YCWOU?WEQAe@GSEK?WI}@Oy@Eq@S[Qa@IWQ]KSOkBs@SUs@_@c@]wAaBi@_@]Ce@Di@Be@C]KWEcA]i@GaAUc@IaAWm@Sa@@STUp@CfAKt@Sr@OlCk@dF_@rBeAvEWtAy@~Cw@`EA|AGr@Id@Y|@Gd@Qv@Q|A?h@Rl@|@dAT`@XZv@fAn@p@L?PPPr@PxBA~@ElB,2,83.7,171.8,148.6,
3,2,UT2,0.0,3732,3732,0.0,Rowing,Rowing,8038377701,2022-10-29T16:23:17Z,2022-10-29T17:23:17Z,(GMT+01:00) Africa/Kinshasa,3600.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,23,True,151.7,165.0,False,True,8601911763,8601911763,garmin_ping_244955892956,False,0,0,False,52284254,1,a8038377701,,2,20.2,,,
4,2,Progression Run,7030.5,2008,2014,26.0,Run,Run,8032900873,2022-10-28T16:12:55Z,2022-10-28T17:12:55Z,(GMT+00:00) Europe/London,3600.0,,,,4,6,0,1,0,False,False,False,False,everyone,False,,"[51.721194349229336, -0.5838443152606487]","[51.72091741114855, -0.58461494743824]",3.501,4.68,19,True,173.0,185.0,False,True,8595714541,8595714541,garmin_ping_244817241295,False,1,0,False,52284254,1,a8032900873,gstzHryqB`@~BHbBHl@@xAIdBAp@Gv@SrAcAjEE^MX]bCCJGFS`DC`ASxBCz@@bAFjABtAX~D?jAFv@Cn@Mn@{AbBs@l@e@Z[L]@w@Ec@SeA[eCwA_@Ye@e@i@a@]_@wBkCy@{@}AmBi@k@o@}@uEmFo@{@}AcBYU{@}@}@w@aCqAOEm@[e@Se@GiAg@e@Ee@Qo@[aBg@w@a@iAu@cAw@uFoFgCkBuA}AyBmBa@Wo@i@OCu@g@k@e@eA_@wAs@c@WWa@]IiDiBmBq@y@QKAc@Ma@WADBD`@Tj@Xf@NlBx@j@RVLdA`@|@f@`@PjAr@b@Nl@^vAr@fBrAf@\r@\|AnAd@^bAhAlA~@bBhB|BlBl@l@lCrB|CrAjB`@ZFVH~CxA|@d@fBjAj@j@`@f@\`@t@h@v@v@vKdMr@v@JDdChD~AbBb@^zDzBjA^n@L`A?b@O\U\Wl@s@Zg@X]Ve@Dg@EaCGeBOyAMmCAsCVyD@}@L}AT_A`@aCh@kCJs@\cBNiAHoA@cCCsAMwA,2,84.9,173.2,159.0,0.0
5,2,Morning Weight Training,0.0,4689,4689,0.0,WeightTraining,WeightTraining,8030657947,2022-10-28T05:51:34Z,2022-10-28T06:51:34Z,(GMT+01:00) Etc/GMT-1,3600.0,,,,0,7,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,27,True,132.2,180.0,False,True,8593177947,8593177947,garmin_ping_244762283602,False,0,0,False,52284254,1,a8030657947,,2,,,,
6,2,2x10’ UT1,0.0,1328,1328,0.0,Rowing,Rowing,8028428012,2022-10-27T17:19:28Z,2022-10-27T18:19:28Z,(GMT+01:00) Etc/GMT-1,3600.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,23,True,174.1,190.0,False,True,8590659611,8590659611,garmin_ping_244692244253,False,0,0,False,52284254,1,a8028428012,,2,24.1,,,
7,2,UT2,0.0,3746,3746,0.0,Rowing,Rowing,8023789752,2022-10-26T17:45:13Z,2022-10-26T18:45:13Z,(GMT+01:00) Eire,3600.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,24,True,153.7,163.0,False,True,8585416777,8585416777,garmin_ping_244568338851,False,0,0,False,52284254,1,a8023789752,,2,20.2,,,
8,2,Afternoon Run,12065.0,4473,4520,176.0,Run,Run,8018047379,2022-10-25T16:01:13Z,2022-10-25T17:01:13Z,(GMT+00:00) Europe/London,3600.0,,,,2,11,0,1,0,False,False,False,False,everyone,False,,"[51.721149841323495, -0.5838486738502979]","[51.72092579305172, -0.5839050002396107]",2.697,3.804,19,True,145.7,168.0,False,True,8578961442,8578961442,garmin_ping_244424638868,False,0,0,False,52284254,1,a8018047379,qrtzHzrpB@iBEwAEe@[qA@Sb@u@rDyJVWXe@Rq@DYLORuA~AiGd@iBj@{ALq@JK`EiApA_APSpCoAvAc@PQF}@K}@GQIyABS`BVRNbA\nBLp@@bATLTTv@ThCx@`Db@tAZlA`BpEd@zAR^B\Lr@RjBH\FFnBd@^BDERcABcCCyDK_EC}CEc@Fw@@eAEkEJk@V_@lAk@d@]FKAQFg@PO\e@tAqA~@eAb@Y~@_BvBmBd@mA`@e@~@u@`@O\E|@]t@G`@SdAUbAgA`@k@v@u@Zi@v@cAhAy@ZEMF?HNZNv@Dj@VjADl@rD~Ql@hCd@nAPp@Jx@MLWp@{ArEu@dBmAfD_@lA@XEXA`AGj@OdAATKh@MTEzABJOb@Iv@ILWlBAlCCReAfAc@N_@EmBfA_@HYRO\Hh@?\Dd@I`AChAN~E?NMv@Fv@GjB?`CHj@rAfGn@rB`@z@xB~BrCjC~AfB~@fBlBhEh@`A^|@Tv@JBp@c@tAsA~@qAt@{AV_AXkARm@T]b@c@vBoA`@IpABVKJ_@DyA@qDN_A?Ul@oBPaAF{ARyAFcBE{@Wu@C@{@}AkAaCw@yCgCoGy@gCQu@Ug@WSg@Ae@Li@VMZc@n@OPcANaAz@S?}@Oc@JYVa@v@k@p@}@xAITEj@Hz@?XGRQRe@Jg@DeAESHy@vA[VMTg@~A]VqA@QPKz@CpCCRKVsGUa@H}A`AQUJNVAFP@n@N^N|@Vx@p@lAZv@`@tAf@xAzBfGj@rCp@`B?DGFCCi@qAQs@Qc@AM_@mAGo@Ka@_@y@E]Uq@MQEa@s@gBaAsBe@}As@gB[kAUUYJIVa@f@YNY^gAv@}@f@STu@pAa@pIAn@Dj@InBSpBC`AHpBRlC@h@MxADxA?v@GrA?pCBb@KrD@t@YxEIfD?`@Jl@JrERfC@p@TjAEV_@VSj@Y\a@rAS\WE]Yu@cB]k@qBeC}@_AgD_EGu@Qq@Yk@SOe@E{Aw@OTWNk@bAeArAWHY_@[}@sAkC[{@a@e@_@}@W[g@eAi@uBa@_ASu@e@eCg@yBs@{Bg@gAYCyBvB}@Ma@a@cC_@mEyAJ_ARkAD{@AuB@m@MiDIk@WmAEe@,2,82.4,176.2,110.0,0.0
9,2,Morning Weight Training,0.0,4298,4298,0.0,WeightTraining,WeightTraining,8015401559,2022-10-25T05:48:51Z,2022-10-25T06:48:51Z,(GMT+00:00) Portugal,3600.0,,,,0,4,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,26,True,133.7,178.0,False,True,8575980292,8575980292,garmin_ping_244364506340,False,0,0,False,52284254,1,a8015401559,,2,,,,
